dataset_version,timestamp_ms,sample_index,total_samples,controller_backend,cycle_id,diameter_m,cmd_object_diameter_m,roll_rad,pitch_rad,yaw_rad,repeat_idx,light_intensity,light_azimuth_deg,light_elevation_deg,spawn_x,spawn_y,spawn_z,pick_cmd_x,pick_cmd_y,pick_cmd_z,place_cmd_x,place_cmd_y,place_cmd_z,arm_joint1_rad,arm_joint2_rad,arm_joint3_rad,arm_joint4_rad,arm_joint5_rad,arm_joint6_rad,arm_gripper_joint1_rad,arm_gripper_joint2_rad,arm_gripper_joint7_rad,cycle_service_success,cycle_message,cycle_success,gripper_close_ok,grasp_stability_ok,place_landing_ok,grasp_reached_ok,place_reached_ok,label,elapsed_sec,server_pose_strategy,server_pose_profile,before_x,before_y,before_z,lift_x,lift_y,lift_z,after_x,after_y,after_z,error
v2_kinematic,1776791340950,21,108,auto_sorting_action,1776791297039_21_0,0.0727,0.0727,0.0,0.2,0.0,0,1.0,50.0,-20.0,0.1202650865178124,-0.1587898185729985,0.1425407917169573,0.1202650865178124,-0.1587898185729985,0.1425407917169573,0.16,-0.25,0.1,-1.0121405842747482,1.6371651962474445,-1.1309818851783016,0.05272801880712752,1.0976641437341152,0.01924876876740722,,,0.03499999979196083,1,auto_action_cycle_done,1,1,1,1,1,1,1,44.9026,free_yaw,直解位姿(快速)(反向),0.1202650865178124,-0.1587898185729985,0.1425407917169573,0.1202650865178124,-0.1587898185729985,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791359241,22,108,auto_sorting_action,1776791341973_22_1,0.0653,0.0653,0.0,0.2,0.0,1,1.0,50.0,-20.0,0.4427861705573853,-0.22266266553197384,0.1425407917169573,0.4427861705573853,-0.22266266553197384,0.1425407917169573,0.16,-0.25,0.1,-1.012140549815248,1.6371653193687958,-1.1309821097283788,0.05272779152076712,1.0976656511896632,0.0192494152274314,,,0.03500000454522032,0,action_server_error,0,0,0,0,0,0,0,18.291,,,0.4427861705573853,-0.22266266553197384,0.1425407917169573,0.4427861705573853,-0.22266266553197384,0.1725407917169573,0.4427861705573853,-0.22266266553197384,0.1425407917169573,action_server_error
v2_kinematic,1776791405737,23,108,auto_sorting_action,1776791360236_23_0,0.0627,0.0627,0.0,0.2,0.0,0,1.0,60.0,30.0,0.2107577234085358,-0.09533561596751716,0.1425407917169573,0.2107577234085358,-0.09533561596751716,0.1425407917169573,0.16,-0.25,0.1,-1.0007845467058445,1.6588569065629617,-1.1565206067662483,-0.01722981883388286,1.1471368758209675,-0.006398466676764691,,,0.03500000734032927,1,auto_action_cycle_done,1,1,1,1,1,1,1,46.4956,free_yaw,直解位姿(快速)(反向),0.2107577234085358,-0.09533561596751716,0.1425407917169573,0.2107577234085358,-0.09533561596751716,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791424255,24,108,auto_sorting_action,1776791406774_24_1,0.0639,0.0639,0.0,0.2,0.0,1,1.0,60.0,30.0,0.16154180861721099,-0.2992419026279535,0.1425407917169573,0.16154180861721099,-0.2992419026279535,0.1425407917169573,0.16,-0.25,0.1,-1.0007845391960428,1.6588570219820502,-1.1565208252873642,-0.017229745099650806,1.1471383836412166,-0.006399102871382567,,,0.03499999971609529,0,action_server_error,0,0,0,0,0,0,0,18.5175,,,0.16154180861721099,-0.2992419026279535,0.1425407917169573,0.16154180861721099,-0.2992419026279535,0.1725407917169573,0.16154180861721099,-0.2992419026279535,0.1425407917169573,action_server_error
v2_kinematic,1776791446153,25,108,auto_sorting_action,1776791425236_25_0,0.047,0.047,0.1,0.0,-0.2,0,0.5,50.0,-20.0,0.37871338728911064,0.05893728405894732,0.1425407917169573,0.37871338728911064,0.05893728405894732,0.1425407917169573,0.16,-0.25,0.1,0.001214275733127046,0.005076372253104644,-0.009874130561773775,0.00755548780079085,0.0018189838380937573,-0.006041141222964619,,,0.03349998676960208,0,action_server_error,0,0,0,0,0,0,0,21.897,,,0.37871338728911064,0.05893728405894732,0.1425407917169573,0.37871338728911064,0.05893728405894732,0.1725407917169573,0.37871338728911064,0.05893728405894732,0.1425407917169573,action_server_error
v2_kinematic,1776791493993,26,108,auto_sorting_action,1776791447109_26_1,0.0738,0.0738,0.1,0.0,-0.2,1,0.5,50.0,-20.0,0.3323356137886172,0.008167987057753604,0.1425407917169573,0.3323356137886172,0.008167987057753604,0.1425407917169573,0.16,-0.25,0.1,-1.0084572804537117,1.6691077827011744,-1.170970438110448,-0.002893080079706678,1.17362754020676,-0.10541160683287387,,,0.03499995742918842,1,auto_action_cycle_done,1,1,1,1,1,1,1,47.8392,free_yaw,直解位姿(快速)(反向),0.3323356137886172,0.008167987057753604,0.1425407917169573,0.3323356137886172,0.008167987057753604,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791538734,27,108,auto_sorting_action,1776791494656_27_0,0.0678,0.0678,0.1,0.0,-0.2,0,0.5,60.0,30.0,0.15968444664771356,-0.1145296132846605,0.1425407917169573,0.15968444664771356,-0.1145296132846605,0.1425407917169573,0.16,-0.25,0.1,-1.0169420176889572,1.614796886855058,-1.1379924571297177,0.07546725442566338,1.1001286607056793,-0.10448415141032541,,,0.03499997077810264,1,auto_action_cycle_done,1,1,1,1,1,1,1,44.7409,free_yaw,直解位姿(快速)(反向),0.15968444664771356,-0.1145296132846605,0.1425407917169573,0.15968444664771356,-0.1145296132846605,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791583391,28,108,auto_sorting_action,1776791539802_28_1,0.0495,0.0495,0.1,0.0,-0.2,1,0.5,60.0,30.0,0.2113848762552477,0.036533414782945764,0.1425407917169573,0.2113848762552477,0.036533414782945764,0.1425407917169573,0.16,-0.25,0.1,-0.9981987535405272,1.6179131265669842,-1.1056686768433055,0.03462477088403304,1.0950026957681525,0.06667926029757076,,,0.03475005381548388,1,auto_action_cycle_done,1,1,1,1,1,1,1,44.6564,free_yaw,直解位姿(快速)(反向),0.2113848762552477,0.036533414782945764,0.1425407917169573,0.2113848762552477,0.036533414782945764,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791625933,29,108,auto_sorting_action,1776791584341_29_0,0.0493,0.0493,0.1,0.0,-0.2,0,0.8,50.0,-20.0,0.038830691729712576,-0.3264372371067439,0.1425407917169573,0.038830691729712576,-0.3264372371067439,0.1425407917169573,0.16,-0.25,0.1,-0.9657008065493189,1.6776018340096535,-1.1893865293687504,-0.07909917749699513,1.2144965711835454,-0.0027612866976474137,,,0.034649993581471444,1,auto_action_cycle_done,1,1,1,1,1,1,1,42.5419,free_yaw,直解位姿(快速)(反向),0.038830691729712576,-0.3264372371067439,0.1425407917169573,0.038830691729712576,-0.3264372371067439,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776791670047,30,108,auto_sorting_action,1776791626887_30_1,0.0454,0.0454,0.1,0.0,-0.2,1,0.8,50.0,-20.0,0.22411786266306197,-0.3008470809724809,0.1425407917169573,0.22411786266306197,-0.3008470809724809,0.1425407917169573,0.16,-0.25,0.1,-0.9922953313099603,1.5949193627587208,-1.0842508615560513,-0.045088505688589464,1.0630013352056773,0.10251961145812505,,,0.032700062042704994,1,auto_action_cycle_done,1,1,1,1,1,1,1,44.1131,free_yaw,直解位姿(快速)(反向),0.22411786266306197,-0.3008470809724809,0.1425407917169573,0.22411786266306197,-0.3008470809724809,0.1725407917169573,0.16,-0.25,0.1,
